DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Protein presence (refined)
COLOR	#000000
STRIP_WIDTH	30
MARGIN	10
BORDER_WIDTH	0
LEGEND_TITLE	Architectural ortholog
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#2ca02c	#ff7f0e	#d62728
LEGEND_LABELS	Present	Possible (truncated)	Absent
DATA
GB_GCA_946185175.1	#d62728	Absent
GB_GCA_966095765.1	#2ca02c	Present (high-confidence)
GB_GCA_045618065.1	#d62728	Absent
GB_GCA_031262695.1	#d62728	Absent
GB_GCA_964442325.1	#d62728	Absent
GB_GCA_938046775.1	#2ca02c	Present (high-confidence)
GB_GCA_963522905.1	#2ca02c	Present (high-confidence)
GB_GCA_949101405.1	#d62728	Absent
GB_GCA_964627365.1	#2ca02c	Present (high-confidence)
GB_GCA_002792275.1	#2ca02c	Present (high-confidence)
GB_GCA_964444615.1	#d62728	Absent
GB_GCA_946532885.1	#d62728	Absent
GB_GCA_964566135.1	#2ca02c	Present (high-confidence)
GB_GCA_002422915.1	#2ca02c	Present (high-confidence)
GB_GCA_963531135.1	#d62728	Absent
GB_GCA_038245195.1	#2ca02c	Present (high-confidence)
GB_GCA_927910745.1	#2ca02c	Present (high-confidence)
GB_GCA_963841325.1	#2ca02c	Present (high-confidence)
GB_GCA_036787835.1	#2ca02c	Present (high-confidence)
GB_GCA_964575635.1	#d62728	Absent
GB_GCA_001790455.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_937936045.1	#2ca02c	Present (high-confidence)
GB_GCA_003022365.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_963545055.1	#d62728	Absent
GB_GCA_964535365.1	#2ca02c	Present (high-confidence)
GB_GCA_035564035.1	#2ca02c	Present (high-confidence)
GB_GCA_041738725.1	#2ca02c	Present (high-confidence)
GB_GCA_021811685.1	#d62728	Absent
GB_GCA_964523355.1	#d62728	Absent
GB_GCA_010202465.1	#2ca02c	Present (high-confidence)
GB_GCA_020854115.1	#2ca02c	Present (high-confidence)
GB_GCA_963623365.1	#d62728	Absent
GB_GCA_964617685.1	#2ca02c	Present (high-confidence)
RS_GCF_022819365.1	#2ca02c	Present (high-confidence)
GB_GCA_041744275.1	#2ca02c	Present (high-confidence)
GB_GCA_049289035.1	#2ca02c	Present (high-confidence)
GB_GCA_038317375.1	#2ca02c	Present (high-confidence)
RS_GCF_021222645.1	#2ca02c	Present (high-confidence)
GB_GCA_964480675.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_017464135.1	#d62728	Absent
GB_GCA_937974295.1	#2ca02c	Present (high-confidence)
GB_GCA_948623715.1	#d62728	Absent
GB_GCA_937863415.1	#2ca02c	Present (high-confidence)
GB_GCA_049656505.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_937981355.1	#2ca02c	Present (high-confidence)
GB_GCA_946893605.1	#2ca02c	Present (high-confidence)
GB_GCA_017406745.1	#d62728	Absent
GB_GCA_049296095.1	#2ca02c	Present (high-confidence)
GB_GCA_903839515.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_049304275.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_020428315.1	#2ca02c	Present (high-confidence)
GB_GCA_015257445.1	#d62728	Absent
GB_GCA_938046575.1	#d62728	Absent
GB_GCA_947253405.1	#d62728	Absent
GB_GCA_963517665.1	#2ca02c	Present (high-confidence)
GB_GCA_963637115.1	#d62728	Absent
GB_GCA_963717365.1	#2ca02c	Present (high-confidence)
GB_GCA_002839415.1	#2ca02c	Present (high-confidence)
GB_GCA_019352195.1	#2ca02c	Present (high-confidence)
GB_GCA_035545275.1	#2ca02c	Present (high-confidence)
GB_GCA_963525425.1	#2ca02c	Present (high-confidence)
GB_GCA_035480095.1	#2ca02c	Present (high-confidence)
GB_GCA_021809645.1	#2ca02c	Present (high-confidence)
GB_GCA_937906385.1	#d62728	Absent
GB_GCA_036378995.1	#2ca02c	Present (high-confidence)
GB_GCA_002452155.1	#d62728	Absent
GB_GCA_963626095.1	#d62728	Absent
GB_GCA_964577565.1	#2ca02c	Present (high-confidence)
GB_GCA_009691435.1	#d62728	Absent
GB_GCA_963541395.1	#2ca02c	Present (high-confidence)
GB_GCA_013333795.2	#2ca02c	Present (high-confidence)
GB_GCA_017511685.1	#d62728	Absent
GB_GCA_943354575.1	#d62728	Absent
GB_GCA_963540205.1	#2ca02c	Present (high-confidence)
GB_GCA_964483035.1	#2ca02c	Present (high-confidence)
GB_GCA_037129535.1	#2ca02c	Present (high-confidence)
GB_GCA_903836325.1	#2ca02c	Present (high-confidence)
GB_GCA_963532505.1	#2ca02c	Present (high-confidence)
RS_GCF_022819345.1	#2ca02c	Present (high-confidence)
GB_GCA_946638615.1	#d62728	Absent
RS_GCF_025273655.1	#2ca02c	Present (high-confidence)
GB_GCA_026395405.1	#2ca02c	Present (high-confidence)
GB_GCA_027311865.1	#2ca02c	Present (high-confidence)
GB_GCA_905370345.1	#2ca02c	Present (high-confidence)
GB_GCA_938033695.1	#d62728	Absent
GB_GCA_049298775.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_009992235.1	#2ca02c	Present (high-confidence)
GB_GCA_028289125.1	#2ca02c	Present (high-confidence)
GB_GCA_035480055.1	#2ca02c	Present (high-confidence)
GB_GCA_964512085.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_038244885.1	#2ca02c	Present (high-confidence)
GB_GCA_002350545.1	#d62728	Absent
GB_GCA_963507075.1	#d62728	Absent
GB_GCA_964425805.1	#d62728	Absent
GB_GCA_966427515.1	#2ca02c	Present (high-confidence)
GB_GCA_030150485.1	#2ca02c	Present (high-confidence)
GB_GCA_937989845.1	#d62728	Absent
GB_GCA_963820105.1	#d62728	Absent
GB_GCA_030429935.1	#2ca02c	Present (high-confidence)
GB_GCA_963539845.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_937930585.1	#d62728	Absent
GB_GCA_938010415.1	#d62728	Absent
GB_GCA_938038145.1	#2ca02c	Present (high-confidence)
GB_GCA_964438085.1	#d62728	Absent
GB_GCA_964643545.1	#2ca02c	Present (high-confidence)
GB_GCA_963730375.1	#2ca02c	Present (high-confidence)
GB_GCA_041600755.1	#2ca02c	Present (high-confidence)
GB_GCA_030428125.1	#2ca02c	Present (high-confidence)
GB_GCA_036378955.1	#2ca02c	Present (high-confidence)
GB_GCA_017510445.1	#d62728	Absent
GB_GCA_028289065.1	#2ca02c	Present (high-confidence)
GB_GCA_036383395.1	#2ca02c	Present (high-confidence)
GB_GCA_050730835.1	#2ca02c	Present (high-confidence)
GB_GCA_035564115.1	#2ca02c	Present (high-confidence)
GB_GCA_903861015.1	#d62728	Absent
GB_GCA_002413755.1	#2ca02c	Present (high-confidence)
GB_GCA_964583675.1	#2ca02c	Present (high-confidence)
GB_GCA_964616505.1	#2ca02c	Present (high-confidence)
GB_GCA_963800205.1	#2ca02c	Present (high-confidence)
GB_GCA_035329185.1	#2ca02c	Present (high-confidence)
GB_GCA_045603965.1	#d62728	Absent
GB_GCA_035479475.1	#2ca02c	Present (high-confidence)
GB_GCA_015256915.3	#ff7f0e	Possible (truncated/partial)
GB_GCA_947085525.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_030855955.1	#2ca02c	Present (high-confidence)
GB_GCA_035479875.1	#d62728	Absent
GB_GCA_963456275.1	#2ca02c	Present (high-confidence)
GB_GCA_903844835.1	#2ca02c	Present (high-confidence)
GB_GCA_013333695.2	#2ca02c	Present (high-confidence)
GB_GCA_964629815.1	#2ca02c	Present (high-confidence)
GB_GCA_052034495.1	#2ca02c	Present (high-confidence)
GB_GCA_023434325.1	#2ca02c	Present (high-confidence)
GB_GCA_030528355.1	#2ca02c	Present (high-confidence)
GB_GCA_013333135.2	#d62728	Absent
GB_GCA_045536655.1	#d62728	Absent
GB_GCA_016178135.1	#2ca02c	Present (high-confidence)
GB_GCA_964639505.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_937919305.1	#2ca02c	Present (high-confidence)
GB_GCA_964637185.1	#2ca02c	Present (high-confidence)
GB_GCA_946548715.1	#d62728	Absent
GB_GCA_964556125.1	#2ca02c	Present (high-confidence)
GB_GCA_964552895.1	#2ca02c	Present (high-confidence)
GB_GCA_964549525.1	#d62728	Absent
GB_GCA_025450135.1	#2ca02c	Present (high-confidence)
GB_GCA_039936495.1	#2ca02c	Present (high-confidence)
GB_GCA_013333405.2	#d62728	Absent
GB_GCA_017447485.1	#d62728	Absent
GB_GCA_044233405.1	#2ca02c	Present (high-confidence)
GB_GCA_964392265.1	#2ca02c	Present (high-confidence)
GB_GCA_030145955.1	#2ca02c	Present (high-confidence)
GB_GCA_017405245.1	#d62728	Absent
GB_GCA_946408595.1	#d62728	Absent
GB_GCA_024402845.1	#d62728	Absent
GB_GCA_947090635.1	#d62728	Absent
GB_GCA_964590205.1	#2ca02c	Present (high-confidence)
GB_GCA_045546295.1	#d62728	Absent
GB_GCA_021800155.1	#2ca02c	Present (high-confidence)
GB_GCA_023253175.1	#2ca02c	Present (high-confidence)
GB_GCA_035478775.1	#2ca02c	Present (high-confidence)
GB_GCA_037137935.1	#2ca02c	Present (high-confidence)
GB_GCA_038207115.1	#2ca02c	Present (high-confidence)
GB_GCA_963716565.1	#2ca02c	Present (high-confidence)
GB_GCA_964518465.1	#d62728	Absent
GB_GCA_937858705.1	#2ca02c	Present (high-confidence)
GB_GCA_030537075.1	#2ca02c	Present (high-confidence)
GB_GCA_964579475.1	#2ca02c	Present (high-confidence)
GB_GCA_963550135.1	#2ca02c	Present (high-confidence)
GB_GCA_045638045.1	#d62728	Absent
GB_GCA_039809225.1	#2ca02c	Present (high-confidence)
GB_GCA_038236865.1	#2ca02c	Present (high-confidence)
GB_GCA_035480695.1	#d62728	Absent
GB_GCA_036384495.1	#2ca02c	Present (high-confidence)
GB_GCA_035478595.1	#2ca02c	Present (high-confidence)
GB_GCA_963527005.1	#d62728	Absent
GB_GCA_050115675.1	#2ca02c	Present (high-confidence)
GB_GCA_017512925.1	#d62728	Absent
GB_GCA_963749175.1	#d62728	Absent
GB_GCA_943354005.1	#2ca02c	Present (high-confidence)
GB_GCA_964536005.1	#d62728	Absent
GB_GCA_043759925.1	#2ca02c	Present (high-confidence)
GB_GCA_964641015.1	#2ca02c	Present (high-confidence)
GB_GCA_002482925.1	#2ca02c	Present (high-confidence)
GB_GCA_017405225.1	#d62728	Absent
GB_GCA_964606965.1	#2ca02c	Present (high-confidence)
GB_GCA_964443595.1	#d62728	Absent
GB_GCA_963517175.1	#d62728	Absent
GB_GCA_964388345.1	#2ca02c	Present (high-confidence)
GB_GCA_934725355.1	#d62728	Absent
GB_GCA_028289185.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_019662065.1	#d62728	Absent
GB_GCA_035690125.1	#2ca02c	Present (high-confidence)
GB_GCA_016700035.1	#2ca02c	Present (high-confidence)
GB_GCA_964573155.1	#2ca02c	Present (high-confidence)
GB_GCA_964462215.1	#2ca02c	Present (high-confidence)
GB_GCA_963528475.1	#2ca02c	Present (high-confidence)
GB_GCA_964496815.1	#2ca02c	Present (high-confidence)
GB_GCA_947084875.1	#2ca02c	Present (high-confidence)
GB_GCA_946616455.1	#d62728	Absent
GB_GCA_017404935.1	#d62728	Absent
GB_GCA_037138655.1	#2ca02c	Present (high-confidence)
GB_GCA_963553475.1	#d62728	Absent
GB_GCA_964494495.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_938041555.1	#2ca02c	Present (high-confidence)
GB_GCA_030529135.1	#d62728	Absent
GB_GCA_963718875.1	#2ca02c	Present (high-confidence)
GB_GCA_945872155.1	#d62728	Absent
GB_GCA_964468665.1	#d62728	Absent
GB_GCA_903946795.1	#2ca02c	Present (high-confidence)
GB_GCA_017421325.1	#d62728	Absent
GB_GCA_946411935.1	#d62728	Absent
GB_GCA_020428535.1	#2ca02c	Present (high-confidence)
RS_GCF_022828255.1	#2ca02c	Present (high-confidence)
GB_GCA_036382575.1	#2ca02c	Present (high-confidence)
GB_GCA_964463545.1	#d62728	Absent
GB_GCA_021846765.1	#2ca02c	Present (high-confidence)
GB_GCA_964566075.1	#2ca02c	Present (high-confidence)
GB_GCA_035479955.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_028289135.1	#d62728	Absent
GB_GCA_963522115.1	#d62728	Absent
GB_GCA_964536265.1	#2ca02c	Present (high-confidence)
GB_GCA_938041005.1	#2ca02c	Present (high-confidence)
GB_GCA_964362185.1	#2ca02c	Present (high-confidence)
GB_GCA_938045235.1	#2ca02c	Present (high-confidence)
GB_GCA_964523145.1	#2ca02c	Present (high-confidence)
GB_GCA_017509895.1	#d62728	Absent
GB_GCA_035480495.1	#2ca02c	Present (high-confidence)
GB_GCA_964460855.1	#2ca02c	Present (high-confidence)
GB_GCA_964406425.1	#d62728	Absent
GB_GCA_049291335.1	#2ca02c	Present (high-confidence)
GB_GCA_035510605.1	#d62728	Absent
GB_GCA_965246155.1	#d62728	Absent
GB_GCA_905372495.1	#d62728	Absent
GB_GCA_964532145.1	#2ca02c	Present (high-confidence)
GB_GCA_021829145.1	#2ca02c	Present (high-confidence)
GB_GCA_963523045.1	#2ca02c	Present (high-confidence)
GB_GCA_964532235.1	#2ca02c	Present (high-confidence)
GB_GCA_035532255.1	#d62728	Absent
GB_GCA_030530485.1	#d62728	Absent
GB_GCA_964633035.1	#d62728	Absent
GB_GCA_964613925.1	#2ca02c	Present (high-confidence)
GB_GCA_030452455.1	#2ca02c	Present (high-confidence)
GB_GCA_963539955.1	#2ca02c	Present (high-confidence)
GB_GCA_046462475.1	#2ca02c	Present (high-confidence)
GB_GCA_020428015.1	#2ca02c	Present (high-confidence)
GB_GCA_938018255.1	#d62728	Absent
GB_GCA_964504625.1	#d62728	Absent
GB_GCA_036518915.1	#2ca02c	Present (high-confidence)
GB_GCA_020428405.1	#2ca02c	Present (high-confidence)
GB_GCA_964578305.1	#2ca02c	Present (high-confidence)
GB_GCA_964474165.1	#2ca02c	Present (high-confidence)
GB_GCA_964348805.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_938041435.1	#2ca02c	Present (high-confidence)
GB_GCA_040876925.1	#2ca02c	Present (high-confidence)
GB_GCA_964560315.1	#d62728	Absent
GB_GCA_946406315.1	#d62728	Absent
GB_GCA_938046115.1	#2ca02c	Present (high-confidence)
GB_GCA_025450575.1	#d62728	Absent
GB_GCA_045649285.1	#d62728	Absent
GB_GCA_947253945.1	#d62728	Absent
GB_GCA_964474995.1	#2ca02c	Present (high-confidence)
GB_GCA_937892705.1	#2ca02c	Present (high-confidence)
GB_GCA_038205065.1	#2ca02c	Present (high-confidence)
GB_GCA_045536725.1	#d62728	Absent
GB_GCA_016282495.1	#d62728	Absent
GB_GCA_964469535.1	#d62728	Absent
GB_GCA_023898645.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_030427525.1	#2ca02c	Present (high-confidence)
GB_GCA_045646155.1	#d62728	Absent
GB_GCA_937990725.1	#2ca02c	Present (high-confidence)
GB_GCA_938042065.1	#2ca02c	Present (high-confidence)
GB_GCA_035547775.1	#d62728	Absent
GB_GCA_963615165.1	#d62728	Absent
GB_GCA_938036825.1	#2ca02c	Present (high-confidence)
GB_GCA_045586015.1	#d62728	Absent
GB_GCA_041855665.1	#d62728	Absent
GB_GCA_028289075.1	#2ca02c	Present (high-confidence)
GB_GCA_045530815.1	#d62728	Absent
GB_GCA_905372225.1	#d62728	Absent
GB_GCA_946408075.1	#d62728	Absent
GB_GCA_017404955.1	#d62728	Absent
GB_GCA_044227985.1	#2ca02c	Present (high-confidence)
GB_GCA_030855355.1	#2ca02c	Present (high-confidence)
GB_GCA_046350755.1	#2ca02c	Present (high-confidence)
GB_GCA_946646285.1	#d62728	Absent
GB_GCA_016432585.1	#2ca02c	Present (high-confidence)
GB_GCA_045589895.1	#d62728	Absent
GB_GCA_945916045.1	#2ca02c	Present (high-confidence)
GB_GCA_964510945.1	#2ca02c	Present (high-confidence)
GB_GCA_038319685.1	#2ca02c	Present (high-confidence)
GB_GCA_964552765.1	#2ca02c	Present (high-confidence)
GB_GCA_964469975.1	#2ca02c	Present (high-confidence)
GB_GCA_964561295.1	#d62728	Absent
GB_GCA_035399865.1	#2ca02c	Present (high-confidence)
GB_GCA_045545815.1	#d62728	Absent
GB_GCA_964596695.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_035247945.1	#2ca02c	Present (high-confidence)
GB_GCA_964522475.1	#d62728	Absent
GB_GCA_049660905.1	#2ca02c	Present (high-confidence)
GB_GCA_014377695.1	#d62728	Absent
GB_GCA_963456295.1	#d62728	Absent
GB_GCA_938017675.1	#2ca02c	Present (high-confidence)
GB_GCA_029288275.1	#d62728	Absent
GB_GCA_964583075.1	#2ca02c	Present (high-confidence)
GB_GCA_946414345.1	#d62728	Absent
GB_GCA_937863095.1	#2ca02c	Present (high-confidence)
GB_GCA_964531915.1	#2ca02c	Present (high-confidence)
GB_GCA_050730875.1	#2ca02c	Present (high-confidence)
GB_GCA_035510455.1	#2ca02c	Present (high-confidence)
GB_GCA_963456285.1	#2ca02c	Present (high-confidence)
GB_GCA_002421965.1	#2ca02c	Present (high-confidence)
GB_GCA_900557595.1	#d62728	Absent
GB_GCA_052103595.1	#2ca02c	Present (high-confidence)
GB_GCA_964292495.1	#d62728	Absent
GB_GCA_963546435.1	#2ca02c	Present (high-confidence)
GB_GCA_964519575.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_947428935.1	#d62728	Absent
GB_GCA_038199095.1	#2ca02c	Present (high-confidence)
GB_GCA_963515225.1	#2ca02c	Present (high-confidence)
GB_GCA_938036845.1	#2ca02c	Present (high-confidence)
GB_GCA_964436255.1	#2ca02c	Present (high-confidence)
GB_GCA_946537195.1	#d62728	Absent
GB_GCA_017512175.1	#d62728	Absent
GB_GCA_963508115.1	#2ca02c	Present (high-confidence)
GB_GCA_964558365.1	#2ca02c	Present (high-confidence)
GB_GCA_049660945.1	#2ca02c	Present (high-confidence)
GB_GCA_038316995.1	#2ca02c	Present (high-confidence)
GB_GCA_041751215.1	#2ca02c	Present (high-confidence)
GB_GCA_031255735.1	#d62728	Absent
GB_GCA_938017645.1	#d62728	Absent
GB_GCA_964643895.1	#d62728	Absent
GB_GCA_017511645.1	#d62728	Absent
GB_GCA_963519835.1	#2ca02c	Present (high-confidence)
GB_GCA_905373835.1	#2ca02c	Present (high-confidence)
GB_GCA_038326785.1	#2ca02c	Present (high-confidence)
GB_GCA_038248455.1	#2ca02c	Present (high-confidence)
GB_GCA_017512085.1	#d62728	Absent
GB_GCA_964424985.1	#d62728	Absent
GB_GCA_963547505.1	#d62728	Absent
GB_GCA_964410185.1	#2ca02c	Present (high-confidence)
GB_GCA_037139575.1	#d62728	Absent
GB_GCA_043767845.1	#2ca02c	Present (high-confidence)
GB_GCA_017510925.1	#d62728	Absent
GB_GCA_964639445.1	#d62728	Absent
GB_GCA_030527565.1	#d62728	Absent
GB_GCA_964446255.1	#2ca02c	Present (high-confidence)
GB_GCA_903880655.1	#d62728	Absent
GB_GCA_027450165.1	#2ca02c	Present (high-confidence)
GB_GCA_964397215.1	#d62728	Absent
GB_GCA_905372095.1	#2ca02c	Present (high-confidence)
GB_GCA_017431955.1	#d62728	Absent
GB_GCA_037132395.1	#d62728	Absent
GB_GCA_027492635.1	#2ca02c	Present (high-confidence)
GB_GCA_021783725.1	#2ca02c	Present (high-confidence)
GB_GCA_964514875.1	#d62728	Absent
GB_GCA_017511925.1	#d62728	Absent
GB_GCA_964396015.1	#d62728	Absent
GB_GCA_937927165.1	#d62728	Absent
GB_GCA_964582465.1	#2ca02c	Present (high-confidence)
GB_GCA_030528815.1	#d62728	Absent
GB_GCA_964400855.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_038257245.1	#2ca02c	Present (high-confidence)
RS_GCF_041006295.1	#2ca02c	Present (high-confidence)
GB_GCA_017652105.1	#d62728	Absent
GB_GCA_038231155.1	#2ca02c	Present (high-confidence)
GB_GCA_938017725.1	#d62728	Absent
GB_GCA_963701245.1	#2ca02c	Present (high-confidence)
